RBPname,GeneID,Essential Genes,Splicing regulation,Spliceosome,RNA modification,3-end processing,rRNA processing,Ribosome & basic translation,RNA stability & decay,microRNA processing,RNA localization,RNA export,Translation regulation,tRNA regulation,mitochondrial RNA regulation,Viral RNA regulation,snoRNA / snRNA / telomerase,P-body / stress granules,Exon Junction Complex,Novel RBP,Other,Nuclei,Cytoplasm
SLTM,ENSG00000137776,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
SMN1,ENSG00000172062,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
SMNDC1,ENSG00000119953,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SND1,ENSG00000197157,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
SNRNP200,ENSG00000144028,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SNRNP70,ENSG00000104852,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
SNRPA,ENSG00000077312,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
SRFBP1,ENSG00000151304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
SRP68,ENSG00000167881,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SRPK2,ENSG00000135250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
SRSF1,ENSG00000136450,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SRSF10,ENSG00000188529,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA
SRSF11,ENSG00000116754,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
SRSF2,ENSG00000161547,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA
SRSF3,ENSG00000112081,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,NA,NA
SRSF4,ENSG00000116350,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SRSF5,ENSG00000100650,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SRSF7,ENSG00000115875,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
SRSF8,ENSG00000271885,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
SRSF9,ENSG00000111786,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SSB,ENSG00000138385,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1
SSRP1,ENSG00000149136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA
STAU1,ENSG00000124214,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,NA,NA
STIP1,ENSG00000168439,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
SUB1,ENSG00000113387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
SUCLG1,ENSG00000163541,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
SUGP2,ENSG00000064607,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SUPT6H,ENSG00000109111,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
SUPV3L1,ENSG00000156502,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
SYNCRIP,ENSG00000135316,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,NA,NA
TAF15,ENSG00000270647,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
TARDBP,ENSG00000120948,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1
TBRG4,ENSG00000136270,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
TFIP11,ENSG00000100109,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
TIA1,ENSG00000116001,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,NA,NA
TIAL1,ENSG00000151923,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
TNRC6A,ENSG00000090905,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1
TOE1,ENSG00000132773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
TRA2A,ENSG00000164548,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
TRIM56,ENSG00000169871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
TRIP6,ENSG00000087077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
TRNAU1AP,ENSG00000180098,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA
TROVE2,ENSG00000116747,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
TUFM,ENSG00000178952,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
U2AF1,ENSG00000160201,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
U2AF2,ENSG00000063244,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
UBAP2L,ENSG00000143569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
UBE2L3,ENSG00000185651,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
UCHL5,ENSG00000116750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
UNK,ENSG00000132478,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA
UPF1,ENSG00000005007,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1
UPF2,ENSG00000151461,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
UTP18,ENSG00000011260,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
UTP3,ENSG00000132467,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
WDR3,ENSG00000065183,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
