RBPname,GeneID,Essential Genes,Splicing regulation,Spliceosome,RNA modification,3-end processing,rRNA processing,Ribosome & basic translation,RNA stability & decay,microRNA processing,RNA localization,RNA export,Translation regulation,tRNA regulation,mitochondrial RNA regulation,Viral RNA regulation,snoRNA / snRNA / telomerase,P-body / stress granules,Exon Junction Complex,Novel RBP,Other,Nuclei,Cytoplasm
DDX42,ENSG00000198231,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
DDX47,ENSG00000213782,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
DDX5,ENSG00000108654,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
DDX51,ENSG00000185163,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
DDX52,ENSG00000141141,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
DDX55,ENSG00000111364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
DDX59,ENSG00000118197,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
DDX6,ENSG00000110367,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1
DEAF1,ENSG00000177030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
DGCR8,ENSG00000128191,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
DHX29,ENSG00000067248,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
DHX30,ENSG00000132153,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
DHX33,ENSG00000005100,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
DKC1,ENSG00000130826,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
DNAJC17,ENSG00000104129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
DNAJC2,ENSG00000105821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
DNAJC21,ENSG00000168724,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
DROSHA,ENSG00000113360,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
EEF2,ENSG00000167658,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
EFTUD2,ENSG00000108883,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
EIF2S1,ENSG00000134001,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EIF2S2,ENSG00000125977,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EIF3A,ENSG00000107581,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
EIF3D,ENSG00000100353,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
EIF3G,ENSG00000130811,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EIF3H,ENSG00000147677,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
EIF4A2,ENSG00000156976,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
EIF4A3,ENSG00000141543,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
EIF4B,ENSG00000063046,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
EIF4G1,ENSG00000114867,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
EIF4G2,ENSG00000110321,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
EIF4H,ENSG00000106682,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
ELAVL4,ENSG00000162374,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,NA,NA
ESF1,ENSG00000089048,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ESRP1,ENSG00000104413,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
ETF1,ENSG00000120705,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA
EWSR1,ENSG00000182944,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
EXOSC5,ENSG00000077348,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
EXOSC9,ENSG00000123737,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
FAM120A,ENSG00000048828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
FASTKD1,ENSG00000138399,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
FASTKD2,ENSG00000118246,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
FIP1L1,ENSG00000145216,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FKBP4,ENSG00000004478,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
FMR1,ENSG00000102081,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,NA,NA
FTO,ENSG00000140718,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA
FUBP1,ENSG00000162613,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
FUBP3,ENSG00000107164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
FUS,ENSG00000089280,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
FXR1,ENSG00000114416,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1
FXR2,ENSG00000129245,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
G3BP1,ENSG00000145907,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
G3BP2,ENSG00000138757,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
GEMIN5,ENSG00000082516,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
GLRX3,ENSG00000108010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
GNL3,ENSG00000163938,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GOLGB1,ENSG00000173230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
GPKOW,ENSG00000068394,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
GRSF1,ENSG00000132463,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
GRWD1,ENSG00000105447,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
GTF2F1,ENSG00000125651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA
HDGF,ENSG00000143321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
HLTF,ENSG00000071794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
HMGB1,ENSG00000189403,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
HNRNPA0,ENSG00000177733,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA
HNRNPA1,ENSG00000135486,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,NA,NA
HNRNPA2B1,ENSG00000122566,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,NA,NA
HNRNPAB,ENSG00000197451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA
HNRNPC,ENSG00000092199,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1
HNRNPCL1,ENSG00000179172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA
HNRNPD,ENSG00000138668,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,NA,NA
HNRNPDL,ENSG00000152795,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA
HNRNPF,ENSG00000169813,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
HNRNPH1,ENSG00000169045,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HNRNPH2,ENSG00000126945,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
HNRNPK,ENSG00000165119,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
HNRNPL,ENSG00000104824,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA
HNRNPLL,ENSG00000143889,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
HNRNPM,ENSG00000099783,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,NA,NA
HNRNPU,ENSG00000153187,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1
HNRNPUL1,ENSG00000105323,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1
HSPD1,ENSG00000144381,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
IGF2BP1,ENSG00000159217,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1
IGF2BP2,ENSG00000073792,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
IGF2BP3,ENSG00000136231,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1
ILF2,ENSG00000143621,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1
ILF3,ENSG00000129351,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0
KHDRBS1,ENSG00000121774,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1
KHDRBS2,ENSG00000112232,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
KHDRBS3,ENSG00000131773,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
KHSRP,ENSG00000088247,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0
KIF1C,ENSG00000129250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
KRR1,ENSG00000111615,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LARP1,ENSG00000155506,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1
LARP4,ENSG00000161813,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
LARP7,ENSG00000174720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
LIN28B,ENSG00000187772,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
LSM11,ENSG00000155858,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
LSM4,ENSG00000130520,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
MAGOH,ENSG00000162385,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
MAK16,ENSG00000198042,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
MARK2,ENSG00000072518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
MATR3,ENSG00000015479,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
MBNL1,ENSG00000152601,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA
METAP2,ENSG00000111142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
MSI1,ENSG00000135097,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA
MSI2,ENSG00000153944,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
MTPAP,ENSG00000107951,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
NAA15,ENSG00000164134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
NCBP2,ENSG00000114503,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1
NELFE,ENSG00000204356,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NFX1,ENSG00000086102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
NIP7,ENSG00000132603,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
NKRF,ENSG00000186416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
NOL12,ENSG00000100101,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NOLC1,ENSG00000166197,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
NONO,ENSG00000147140,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
NOVA1,ENSG00000139910,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA
NPM1,ENSG00000181163,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NSUN2,ENSG00000037474,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
NUFIP2,ENSG00000108256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
NUP35,ENSG00000163002,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
NUPL2,ENSG00000136243,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA
NUSAP1,ENSG00000137804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
NXF1,ENSG00000162231,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
PA2G4,ENSG00000170515,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
PABPC1,ENSG00000070756,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,NA,NA
PABPC3,ENSG00000151846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PABPC4,ENSG00000090621,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1
PABPN1,ENSG00000100836,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
PABPN1L,ENSG00000205022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA
PARN,ENSG00000140694,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
PCBP1,ENSG00000169564,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1
PCBP2,ENSG00000197111,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
PCBP3,ENSG00000183570,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PCBP4,ENSG00000090097,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
PES1,ENSG00000100029,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
